a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240116.2-2
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
acpi 1.7-3
acpid 2.0.34-1
acpilight 1.2-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adobe-source-han-sans-cn-fonts 2.004-2
adobe-source-han-sans-jp-fonts 2.004-2
adobe-source-han-sans-kr-fonts 2.004-2
adobe-source-sans-fonts 3.052-1
adwaita-cursors 46.2-1
adwaita-icon-theme 46.2-1
adwaita-icon-theme-legacy 46.2-1
aha 0.5.1-2
alacritty 0.13.2-2
alsa-firmware 1.2.4-3
alsa-lib 1.2.12-1
alsa-oss 1.1.8-5
alsa-plugins 1:1.2.12-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.12-1
alsa-utils 1.2.12-1
amd-ucode 20240610.9c10a208-1
android-tools 35.0.1-1
android-udev 20240221-1
aom 3.9.1-1
apparmor 3.1.7-2
appimagelauncher 2.2.0-10
appstream 1.0.3-1
appstream-glib 0.8.3-1
appstream-qt 1.0.3-1
appstream-qt5 1.0.3-1
archlinux-appstream-data 20240526-1
archlinux-keyring 20240609-1
argon2 20190702-5
aribb24 1.0.3-3
ark 24.05.1-1
arm-none-eabi-binutils 2.42-1
arm-none-eabi-gcc 14.1.0-1
arm-none-eabi-newlib 4.4.0.20231231-1
asciidoc 10.2.0-6
asciidoctor 2.0.23-1
assimp 5.4.0-1
at-spi2-core 2.52.0-1
atkmm 2.28.4-1
attica 6.3.0-1
attica5 5.116.0-1
attr 2.5.2-1
audiocd-kio 24.05.1-1
audit 4.0.1-3
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-2
avr-binutils 2.42-2
avr-gcc 14.1.0-1
avr-libc 2.2.0-1
avrdude 1:7.3-1
b43-fwcutter 019-4
baloo 6.3.0-1
baloo-widgets 24.05.1-1
base 3-3
base-devel 1-3
bash 5.2.026-2
bat 0.24.0-2
